Epoch,Train_Loss,Val_Loss,Val_SSIM,Val_PSNR,lr
1,0.826767,0.801672,0.993302,75.742686,1.000000e-04
2,0.796189,0.798400,0.993319,75.921781,1.000000e-04
3,0.794252,0.798466,0.991802,74.728968,1.000000e-04
4,0.793111,0.794865,0.993455,75.794180,1.000000e-04
5,0.792171,0.794838,0.993304,75.898889,1.000000e-04
6,0.791421,0.794543,0.993876,76.033706,1.000000e-04
7,0.790818,0.793868,0.994348,76.410723,1.000000e-04
8,0.790680,0.794090,0.994526,76.602121,1.000000e-04
9,0.790819,0.792635,0.994350,76.364912,1.000000e-04
10,0.790037,0.792474,0.994814,76.837523,1.000000e-04
11,0.789372,0.792112,0.994698,76.504876,1.000000e-04
12,0.789463,0.791857,0.994846,76.832787,1.000000e-04
13,0.788709,0.790613,0.994838,76.706056,1.000000e-04
14,0.789071,0.791430,0.995279,77.269510,1.000000e-04
15,0.788336,0.791047,0.995278,77.135912,1.000000e-04
16,0.788268,0.791829,0.995342,77.063755,1.000000e-04
17,0.787973,0.790595,0.995388,77.181400,1.000000e-04
18,0.788016,0.790367,0.995265,77.132921,1.000000e-04
19,0.787858,0.791310,0.994896,76.801853,1.000000e-04
20,0.787767,0.790451,0.995746,77.544060,1.000000e-04
21,0.787612,0.790968,0.995670,77.484479,1.000000e-04
22,0.787433,0.790355,0.995611,77.410201,1.000000e-04
23,0.787257,0.790831,0.995938,77.706670,1.000000e-04
24,0.787920,0.790566,0.995771,77.496611,5.000000e-05
25,0.786858,0.790473,0.995890,77.654961,5.000000e-05
26,0.786778,0.789818,0.995941,77.787828,5.000000e-05
27,0.786705,0.790665,0.996105,78.008748,5.000000e-05
28,0.786483,0.789052,0.996007,77.850551,5.000000e-05
29,0.786486,0.789451,0.996089,77.866014,5.000000e-05
30,0.786688,0.789460,0.996107,77.882283,5.000000e-05
31,0.786356,0.789499,0.996158,78.015100,5.000000e-05
32,0.786251,0.789692,0.996214,78.007297,5.000000e-05
33,0.786538,0.789008,0.996208,77.995891,5.000000e-05
34,0.786277,0.789603,0.996179,77.949576,2.500000e-05
35,0.786187,0.788992,0.996299,78.190471,2.500000e-05
36,0.786232,0.788868,0.996495,78.327968,2.500000e-05
37,0.785755,0.788956,0.996205,78.027440,2.500000e-05
38,0.785896,0.789315,0.996322,78.159923,2.500000e-05
39,0.786131,0.788986,0.996449,78.251351,2.500000e-05
40,0.786055,0.789519,0.996386,78.294524,2.500000e-05
41,0.785868,0.788870,0.996453,78.327411,2.500000e-05
42,0.785532,0.789921,0.996562,78.388938,1.250000e-05
43,0.785736,0.788665,0.996405,78.227585,1.250000e-05
44,0.785535,0.788876,0.996510,78.330739,1.250000e-05
45,0.785690,0.789662,0.996458,78.271072,1.250000e-05
46,0.785778,0.788337,0.996422,78.320129,1.250000e-05
47,0.785446,0.789078,0.996475,78.249492,1.250000e-05
48,0.785382,0.789242,0.996579,78.398415,1.250000e-05
49,0.785738,0.789016,0.996528,78.332101,1.250000e-05
50,0.785483,0.788502,0.996363,78.216917,1.250000e-05
51,0.785545,0.788526,0.996463,78.330796,1.250000e-05
52,0.785454,0.789220,0.996698,78.466393,6.250000e-06
53,0.785820,0.788918,0.996495,78.245790,6.250000e-06
54,0.785488,0.789543,0.996545,78.405861,6.250000e-06
55,0.785215,0.789097,0.996614,78.449981,6.250000e-06
